"tgnum","shortname","longname","category"
13680,"MAP","Mobile Assistance Patrol ","Interop "
15504,"CORONER","Coroner Administration ","Law Talk "
16464,"DPT A1","PCO Dispatch ","Law Tac "
16496,"DPT A2","PTC Administration & Engineering ","Law Tac "
16528,"DPT A3","Traffic Signal Shop ","Public Works "
16560,"DPT A4","Parking Meter-Signs-Paint Shops ","Public Works "
16592,"DPT A5","PTC Special Events ","Law Tac "
16624,"DPT A6","Traffic Control Center ","Public Works "
16656,"SCOFF","Parking Scofflaws (also SFPD A-15 ""SCOFFLAW"") ","Law Tac "
16688,"TOW","Parking Towaway (also SFPD A-16 ""TOW CH"") ","Law Tac "
16816,"WATER 1","Water Department 1 Administration ","Utilities "
16848,"WATER 2","Water Department 2 Operations ","Utilities "
16912,"REC A1","Recreation & Parks A-1 Admin-Rec-Marina-Events ","Public Works "
16944,"REC A2","Recreation & Parks A-2 Structural Maintenance ","Public Works "
16976,"REC A3","Recreation & Parks A-3 Park Maint Urban Forestry ","Public Works "
17008,"REC A4","Recreation & Parks A-4 Park Patrol ","Security "
17040,"REC A5","Recreation & Parks A-5 3-Com Park ","Public Works "
17648,"RADIO A1"," ","Other "
17680,"RADIO A2"," ","Other "
17712,"RADIO A3"," ","Other "
17744,"RADIO A4"," ","Other "
17776,"RADEMG"," ","Other "
18160,"CCSFPOL"," ","Other "
18544,"MYTALK"," ","Other "
50000,,"Public Library Security - Main and Branches ","Security "
64976,"UNK","Street Sweepers ","Public Works "
13520,"EVENT 1","All City Event 1 ","Interop "
13552,"EVENT 2","All City Event 2 ","Interop "
13584,"SAFEVT 1","Public Safety Event 1 ","Interop "
13616,"SAFEVT 2","Public Safety Event 2 ","Interop "
13648,"SAFEVT 3","Public Safety Event 3 ","Interop "
944,"SFFD EMS1","EMS 1 Medic-Hospital Control 7 ","EMS-Tac "
976,"SFFD EMS2","EMS 2 Medic-Hospital Control 8 ","EMS-Tac "
15312,"SFFD EMS3","Ambulance non-emergency Control 9 ","EMS-Tac "
15344,"SFFD EMS4","Private ambulance Control 10 ","EMS-Tac "
1008,"SFFD-B8","SFFD ","Fire Dispatch "
14800,"SFFD-A1","Dispatch Division 1 Control 1 ","Fire Dispatch "
14832,"SFFD-A2","Dispatch Division 2 Control 2 ","Fire Dispatch "
14864,"SFFD-A3","Dispatch Division 3 Control 3 ","Fire Dispatch "
14896,"SFFD-A4","Command - Greater Alarms - Control 4 ","Fire-Talk "
14928,"SFFD-A5","Command - Greater Alarms - Control 5 ","Fire-Talk "
14960,"SFFD-A6","Command - Greater Alarms - Control 6 ","Fire-Talk "
14992,"SFFD-A7","Tactical Battalion 7 ","Fire-Tac "
15024,"SFFD-A8","Tactical Battalion 8 ","Fire-Tac "
15056,"SFFD-A9","Tactical Battalion 9 ","Fire-Tac "
15088,"SFFD-A10","Tactical Battalion 10 ","Fire-Tac "
15120,"SFFD-A11","Tactical Battalion 1 ","Fire-Tac "
15152,"SFFD-A12","Tactical Battalion 2 ","Fire-Tac "
15184,"SFFD-A13","Tactical Battalion 3 ","Fire-Tac "
15216,"SFFD-A14","Tactical Battalion 4 ","Fire-Tac "
15248,"SFFD-A15","Tactical Battalion 5 ","Fire-Tac "
15280,"SFFD-A16","Tactical Battalion 6 ","Fire-Tac "
15440,"SFFD-B8","Prevention ","Fire-Talk "
15472,"SFFD-B9","Auxiliary Water Supply System ","Fire-Talk "
15760,"SFFD-B10","Bureau of Equipment ","Fire-Talk "
15792,"SFFDB-12","Training ","Fire-Talk "
17424,"OES1","Office of Emergency Services 1","Emergency Ops "
17456,"OES2","Office of Emergency Services 2","Emergency Ops "
17488,"OES ADMIN","Office of Emergency Services Admin","Emergency Ops "
16,"TAC 7","Tactical 7 ","Law Tac "
48,"TAC 8","Tactical 8 ","Law Tac "
80,"NARC2","Narcotics 2 ","Law Tac "
112,"NARC3","Narcotics 3 ","Law Tac "
144,"NARC4","Narcotics 4 ","Law Tac "
176,"NARC5","Narcotics 5 ","Law Tac "
208,"SID 2","Special Investigations Division 2 ","Law Tac "
240,"VICE 1","Vice 1 ","Law Tac "
272,"COMMAND","Command ","Law Talk "
12848,"SFPD A1","Dispatch Company A B J TI Central Southern ","Law Dispatch "
12880,"SFPD A2","Service Company A B J TI ","Law Talk "
12912,"SFPD A3","Dispatch Company C D Bayview Mission ","Law Dispatch "
12944,"SFPD A4","Service Company C D ","Law Talk "
12976,"SFPD A5","Dispatch Company E F Northern Park ","Law Dispatch "
13008,"SFPD A6","Service Company E F ","Law Talk "
13040,"SFPD A7","Dispatch Company G H I Richmond Ingleside Taraval ","Law Dispatch "
13072,"SFPD A8","Service Company G H I ","Law Talk "
13104,"SFPD A9","Dispatch spare ","Law Dispatch "
13136,"SFPD A10","Dispatch spare ","Law Dispatch "
13168,"SFPD A11","PAT Muni Tac Traffic ","Law Talk "
13200,"SFPD A12","Dispatch spare ","Law Dispatch "
13232,"SFPD A13","Station Service A B E F J TI ","Law Talk "
13264,"SFPD A14","Station Service C D G H I ","Law Talk "
13296,"PAROLE"," ","Law Talk "
13808,"TAC 1","Tactical 1 Administration ","Law Tac "
13840,"TAC 2","Tactical 2 ","Law Tac "
13872,"TAC 3","Tactical 3 ","Law Tac "
13904,"TAC 4","Tactical 4 ","Law Tac "
13936,"TAC 5","Tactical 5 ","Law Tac "
13968,"TAC 6","Tactical 6 (Mounted-Honda-Air-Sea) ","Law Talk "
14000,"TAC 7","Tactical 7 ","Law Tac "
14032,"TAC 8","Tactical 8 ","Law Tac "
14064,"PDB 15","Robbery Apprehension Team ","Law Talk "
14096,"TAC 10","Tactical 10 ","Law Tac "
14128,"TAC 11","Tactical 11 ","Law Tac "
14160,"TAC 12","Tactical 12 ","Law Tac "
14192,"TAC 13","Tactical 13 ","Law Tac "
14224,"POL-EVENT","Tactical 14 (Event) ","Law Tac "
14256,"TAC 15","Tactical 15 ","Law Tac "
14288,"NARC1","Narcotics 1 Administration ","Law Talk "
14544,"INV1","Investigations 1 Administration ","Law Talk "
14576,"SID 1","Special Investigations Division 1 ","Law Talk "
14704,"TRAIN 1","Training 1 ","Law Talk "
14736,"TRAIN 2","Training 2 ","Law Talk "
17840,"SFSU 1"," ","Law Dispatch "
17872,"SFSU 2"," ","Law Tac "
17904,"SFSU 3"," ","Law Tac "
15856,"SFSO A1","Jail 1 ","Law Talk "
15888,"SFSO A2","Jail 2 ","Law Talk "
15920,"SFSO A3","Jail 5 West Law Talk  ","Law Talk "
15952,"SFSO A4","Jail 5 East Law Talk  ","Law Talk "
15984,"SFSO A5","Jail 8 ","Law Talk "
16016,"SFSO A6","Jail 9 ","Law Talk "
16048,"SFSO A7","Classification Unit/SBBS ","Law Talk "
16080,"SFSO A8","City Hall Patrol Dispatch ","Law Dispatch "
16112,"SFSO A9","YGC/Laguna Honda Security ","Security "
16144,"SFSO A10","HOJ Courts/Civil Courts ","Security "
16176,"SFSO A11","Transportation SWAP SFGH ","Law Talk "
16208,"SFSO A12","Law Talk - Future ","Law Talk "
16240,"SFSO A15","Emergency Services Unit ","Law Tac "
16272,"SFSO A16","Station Transfers / Evictions / Field Support & Services ","Law Talk "
49200,"SGH-IP","SF General Hospital Patrol ","Security "
18032,"UCSF 1"," ","Multi-Dispatch "
18064,"UCSF 2"," ","Multi-Dispatch "
18096,"UCSF 3"," ","Multi-Dispatch"
